Escenario,AC ID,Cuando (Acción),Dado (Contexto),Entonces (Resultado),Epic,US ID,UUID,"🧩  Historias de Usuario "
Creación exitosa de una Orden de Trabajo (WO) Preventiva,AC-MTTO-001-1,"Cuando selecciona el activo, define método de mantenimiento (""time-based"" o ""condition-based""), establece frecuencia (ej. ""mensual""), y guarda el plan","Dado que el Planificador está autenticado en el sistema,
el activo está registrado con Tag ISO completo,
y el ítem mantenible (Level 8) está definido","Entonces el sistema muestra confirmación ""Plan creado exitosamente"" y el plan aparece en la lista de planes con la próxima WO programada en el calendario",MTTO,MTTO-001,1,Programación de Mantenimiento Preventivo (https://www.notion.so/Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21)
Intento de creación con datos incompletos,AC-MTTO-001-2,"Cuando intenta guardar un plan sin:
• Seleccionar un activo
• Definir método de mantenimiento (time-based o condition-based)
• Establecer frecuencia",Dado que el Planificador está autenticado en el sistema,"Entonces el sistema muestra mensaje de error: ""Campos obligatorios: Activo, Método de Mantenimiento, Frecuencia"" y no crea la orden de trabajo",MTTO,MTTO-001,2,Programación de Mantenimiento Preventivo (https://www.notion.so/Programaci-n-de-Mantenimiento-Preventivo-2c587c56a82880949bb9fec30ac87fcc?pvs=21)
Cierre Exitoso con Clasificación ISO,AC-MTTO-002-3,"Cuando ingresa las Horas Hombre Reales y selecciona:
1.  Ítem Mantenible (Nivel 8): ej. Sello Mecánico.
2.  Modo de Falla: ej. Fuga Externa.
3.  Mecanismo de Falla: ej. Erosión.
4.  Causa de Falla: ej. Desgaste por uso.
Y presiona ""Finalizar"".",Dado que el Técnico ha finalizado una reparación física y está en la pantalla de la WO en su tablet.,"Entonces el estado de la WO cambia a ""Pendiente de Revisión"", la información se guarda en el historial del activo y se notifican los KPIs actualizados al Ingeniero de Confiabilidad.",MTTO,MTTO-002,3,Cierre Digital de WO con Taxonomía ISO 14224 (https://www.notion.so/Cierre-Digital-de-WO-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21)
Adjuntar Evidencia Multimedia,AC-MTTO-002-4,"Cuando utiliza la función ""Adjuntar Foto/Video"" y captura una imagen de la reparación finalizada.",Dado que el Técnico está llenando el formulario de cierre en su tablet.,Entonces la imagen debe quedar asociada a la orden de trabajo y ser visible para el Supervisor.,MTTO,MTTO-002,4,Cierre Digital de WO con Taxonomía ISO 14224 (https://www.notion.so/Cierre-Digital-de-WO-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21)
Validación de Integridad de Datos (Bloqueo ISO 14224),AC-MTTO-002-5,"Cuando intenta finalizar la WO sin haber seleccionado el ""Mecanismo de Falla"" o el ""Ítem Mantenible"".",Dado que el Técnico está en el formulario de cierre.,"Entonces el sistema debe mostrar un mensaje de error: ""Error de cumplimiento ISO 14224: Todos los campos de taxonomía de falla son obligatorios"".
Y no debe permitir el cambio de estado de la orden.",MTTO,MTTO-002,5,Cierre Digital de WO con Taxonomía ISO 14224 (https://www.notion.so/Cierre-Digital-de-WO-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21)
Operación sin Conexión,AC-MTTO-002-6,"Cuando completa el formulario de cierre y presiona ""Finalizar"".",Dado que el Técnico está en una zona de la planta sin WiFi y ha abierto una WO.,"Entonces el sistema muestra indicador 'Pendiente de Sincronización'
y permite al usuario ver los datos guardados cuando se restaure la conexión",MTTO,MTTO-002,6,Cierre Digital de WO con Taxonomía ISO 14224 (https://www.notion.so/Cierre-Digital-de-WO-con-Taxonom-a-ISO-14224-2c587c56a8288098968dcd883ff5537e?pvs=21)
Carga exitosa de informe PDF,AC-MTTO-003-7,"Cuando selecciona un archivo PDF válido y hace clic en ""Subir"".",Dado que el Contratista está autenticado y en la pantalla de la WO completada.,"Entonces el sistema solicita seleccionar el Ítem Mantenible (ej. Motor, Acople) asociado al informe, confirma que el archivo se ha adjuntado a la WO, muestra el nombre del archivo en la lista de adjuntos, y envía notificación al Supervisor que hay un informe para revisar.",MTTO,MTTO-003,7,Carga de Informe por Contratista (https://www.notion.so/Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21)
Intento de carga con formato incorrecto,AC-MTTO-003-8,"Cuando intenta subir un archivo que NO es PDF o imagen (ej. .exe, .txt).",Dado que el Contratista está autenticado y en la pantalla de la WO.,"Entonces el sistema muestra mensaje de error: ""Formato de archivo no válido. Solo se aceptan: PDF, JPG, PNG"", NO adjunta el archivo, y permite al Contratista intentar nuevamente.",MTTO,MTTO-003,8,Carga de Informe por Contratista (https://www.notion.so/Carga-de-Informe-por-Contratista-2c587c56a82880d1b3e1cb7a94816bf3?pvs=21)
Extracción de datos exitosa,AC-MTTO-004-9,Cuando el Supervisor abre la WO.,Dado que un Contratista ha subido un PDF a una WO y está pendiente de aprobación.,"Entonces el sistema muestra un resumen con los datos clave (horas reales, repuestos, descripción) extraídos del PDF.",MTTO,MTTO-004,9,Extracción Automática de Datos de Informes (https://www.notion.so/Extracci-n-Autom-tica-de-Datos-de-Informes-2c587c56a82880ecbcdcfc7405526d3c?pvs=21)
Extracción con datos faltantes,AC-MTTO-004-10,Cuando el Supervisor abre la WO.,Dado que un Contratista ha subido un PDF que no contiene la “lista de materiales”.,"Entonces el sistema muestra un aviso de validación: “Información faltante: no se pudo extraer la lista de materiales. Por favor, revise el documento manualmente.”",MTTO,MTTO-004,10,Extracción Automática de Datos de Informes (https://www.notion.so/Extracci-n-Autom-tica-de-Datos-de-Informes-2c587c56a82880ecbcdcfc7405526d3c?pvs=21)
